Vehicle Name,Small/Sporty/ Compact/Large Sedan,Sports Car,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,AvgMPG
Acura 3.5 RL 4dr,1,0,0,0,0,0,0,0,43755,39014,1.3,3,73,18,24,3880,115,197,72,21
Acura 3.5 RL w/Navigation 4dr,1,0,0,0,0,0,0,0,46100,41100,1.3,3,93,18,24,3893,115,197,72,21
Acura MDX,0,0,1,0,0,0,1,0,36945,33337,1.4,3,100,17,23,4451,106,189,77,20
Acura NSX coupe 2dr manual S,0,1,0,0,0,0,0,1,89765,79978,1.5,4,103,17,24,3153,100,174,71,20.5
Acura RSX Type S 2dr,1,0,0,0,0,0,0,0,23820,21761,1.5,4,103,24,31,2778,101,172,68,27.5
Acura TL 4dr,1,0,0,0,0,0,0,0,33195,30299,1.5,4,103,20,28,3575,108,186,72,24
Acura TSX 4dr,1,0,0,0,0,0,0,0,26990,24647,1.5,4,103,22,29,3230,105,183,69,25.5
Audi A4 1.8T 4dr,1,0,0,0,0,0,0,0,25940,23508,1.5,4,103,22,31,3252,104,179,70,26.5
Audi A4 3.0 4dr,1,0,0,0,0,0,0,0,31840,28846,1.5,4,104,20,28,3462,104,179,70,24
Audi A4 3.0 convertible 2dr,1,0,0,0,0,0,0,0,42490,38325,1.6,4,104,20,27,3814,105,180,70,23.5
Audi A4 3.0 Quattro 4dr auto,1,0,0,0,0,0,1,0,34480,31388,1.6,4,104,18,25,3627,104,179,70,21.5
Audi A4 3.0 Quattro 4dr manual,1,0,0,0,0,0,1,0,33430,30366,1.6,4,108,17,26,3583,104,179,70,21.5
Audi A4 3.0 Quattro convertible 2dr,1,0,0,0,0,0,1,0,44240,40075,1.6,4,108,18,25,4013,105,180,70,21.5
Audi A41.8T convertible 2dr,1,0,0,0,0,0,0,0,35940,32506,1.6,4,108,23,30,3638,105,180,70,26.5
Audi A6 2.7 Turbo Quattro 4dr,1,0,0,0,0,0,1,0,42840,38840,1.6,4,108,18,25,3836,109,192,71,21.5
Audi A6 3.0 4dr,1,0,0,0,0,0,0,0,36640,33129,1.6,4,108,20,27,3561,109,192,71,23.5
Audi A6 3.0 Avant Quattro,0,0,0,1,0,0,1,0,40840,37060,1.6,4,110,18,25,4035,109,192,71,21.5
